Date,Company Name,Research by,Reco Price,Target
"June 01, 2025",Puravankara,Emkay Global Financial Services,264.3,400 (38.2%)
"May 30, 2025",Fine Organics,Prabhudas Lilladher,4687.8,5440 (19.7%)
"May 29, 2025",Dr Agarwals,Motilal Oswal,348,460 (14%)
"May 29, 2025",Suzlon Energy,Motilal Oswal,65.42,83 (31.2%)
"May 29, 2025",MOTHERSON,Motilal Oswal,152.15,175 (16.5%)
"May 29, 2025",JSW Infra,Motilal Oswal,289.8,370 (22.7%)
"May 29, 2025",Campus Active,Motilal Oswal,284.3,330 (16.2%)
"May 29, 2025",Blue Dart,Motilal Oswal,6656.7,7600 (22%)
"May 29, 2025",Nuvama Wealth,Motilal Oswal,6969.55,8600 (24.9%)
"May 29, 2025",Cummins,Motilal Oswal,3172.25,4060 (24.1%)
"May 28, 2025",Granules India,Motilal Oswal,522.05,600 (23.1%)
"May 28, 2025",JK Lakshmi Cem,Motilal Oswal,847.4,1000 (22.2%)
"June 02, 2025",Tarsons Product,LKP Securities Limited,386.35,453 (21.8%)
"June 01, 2025",Apollo Hospital,Prabhudas Lilladher,6878.2,8100 (14.6%)
"June 01, 2025",TCI Express,Prabhudas Lilladher,762.8,816 (9%)
"May 31, 2025",Samhi Hotels,Prabhudas Lilladher,192.55,313 (44.8%)
"May 31, 2025",Ipca Labs,Prabhudas Lilladher,1423.95,1525 (12.5%)
"May 30, 2025",-,Prabhudas Lilladher,0,4522
"May 30, 2025",Anupam Rasayan,Deven Choksey,1003.6,1053 (-7.1%)
"May 30, 2025",Balkrishna Ind,Deven Choksey,2477,2474 (2.2%)
"May 30, 2025",Minda Corp,Deven Choksey,522.45,624 (23.5%)
"May 30, 2025",Bosch,ICICI Securities,31373.8,30000 (-7%)
"May 30, 2025",Natco Pharma,ICICI Securities,883.45,890 (1.7%)
"May 30, 2025",Deepak Nitrite,ICICI Securities,2027.75,2000 (5.5%)
"May 30, 2025",MOTHERSON,ICICI Securities,153,185 (23.1%)
"May 30, 2025",Varroc Engineer,ICICI Securities,529.15,610 (8.1%)
"May 30, 2025",Suzlon Energy,ICICI Securities,71.46,76 (20.1%)
"May 30, 2025",IRCTC,Prabhudas Lilladher,755.85,864 (14.1%)
"May 30, 2025",NMDC,LKP Securities Limited,71.17,84 (23.6%)
"May 29, 2025",Grindwell Norto,Prabhudas Lilladher,1780.35,1739 (5%)
"May 29, 2025",Birlasoft,Sharekhan,420.55,480 (13.9%)
"May 29, 2025",Indigo Paints,Sharekhan,1056.2,1234 (10%)
"May 29, 2025",Imagicaaworld,Prabhudas Lilladher,68.08,93 (38.9%)
"May 29, 2025",Cummins,Prabhudas Lilladher,3172.25,3646 (11.4%)
"May 29, 2025",SAIL,Prabhudas Lilladher,129.95,133 (4.3%)
